district_id,centroid_lon,centroid_lat,tile_x,tile_y,zoom
101,76.86031483892187,29.471158438221444,91,52,7
102,76.86871867220262,29.05816007540313,91,53,7
103,75.98409597500769,29.609324857439997,90,52,7
104,75.60853682116334,29.620163310316702,90,52,7
105,74.86969554410179,29.689201138344608,90,52,7
106,75.87364370557327,29.499498247787642,90,52,7
107,76.52413815704536,28.912805739594898,91,53,7
108,76.6424322647416,28.599601456926315,91,53,7
109,75.98286830267944,28.17115248474291,90,53,7
110,76.53219449038471,28.239798123336474,91,53,7
111,76.93737041595408,28.36484906131371,91,53,7
112,77.0412786597549,27.98163842531568,91,53,7
113,77.3390667430853,28.34433884675982,91,53,7
114,77.32489253108743,28.055793326012438,91,53,7
115,73.01198799957835,28.969809975507843,89,53,7
116,74.28735182794148,29.653984258079692,90,52,7
117,72.68314144026951,28.123531946039215,89,53,7
118,74.69565743917208,28.343023561479068,90,53,7
119,75.54224727460196,28.08841924147679,90,53,7
120,76.59790905744471,27.59327904311802,91,53,7
121,77.26286795219849,27.329086223687625,91,53,7
122,77.69563359596164,26.683356196701382,91,54,7
123,76.83538530913877,26.988877229486768,91,53,7
124,76.00789580015208,26.1678712466555,90,54,7
125,76.65660675750215,27.060366719395795,91,53,7
126,75.71128883224439,27.197379528024474,90,53,7
127,75.27606788758486,27.634395109972488,90,53,7
128,73.1841499168629,27.14072283264485,89,53,7
129,72.50302139061202,27.26097103870916,89,53,7
130,70.08740099627533,27.338501755223813,88,53,7
131,70.27043171232546,25.93779886356219,88,54,7
132,72.21795105424451,25.091487589104577,89,54,7
133,72.77635875176978,24.77899768851761,89,54,7
134,73.08803029743295,25.49260945690278,89,54,7
135,74.77149096219422,26.227727005207655,90,54,7
136,75.60462374250801,26.1495915861189,90,54,7
137,75.69650423400967,25.44437446200197,90,54,7
138,74.726715276952,25.477203176295028,90,54,7
139,73.88786043128589,25.214787238714447,90,54,7
140,73.85751728557175,23.729035584952406,90,55,7
141,74.36510172231328,23.471595446696558,90,55,7
142,74.79432121143913,24.8498218738089,90,54,7
143,75.88939355724962,24.93831790870946,90,54,7
144,76.74866739034147,24.998170362591548,91,54,7
145,75.9592705322017,24.500883677541264,90,54,7
146,73.14279685982902,24.581925493820584,89,54,7
147,74.69810270092634,24.46978290218001,90,54,7
148,77.535577605882,29.951034208945757,91,52,7
149,78.3420735638175,29.577290225614476,91,52,7
150,78.83460335624225,28.675676772631018,91,53,7
151,78.31626391245543,28.815807081994667,91,53,7
152,77.78368941415715,29.03711862668171,91,53,7
153,77.30244019667957,29.055739105309037,91,53,7
154,77.54397831350599,28.379784134621122,91,53,7
155,77.99903382118713,28.359943827884788,91,53,7
156,78.07696337880097,27.920008883754885,91,53,7
157,78.14434169486557,27.57188162921966,91,53,7
158,77.62119945914709,27.59593974896086,91,53,7
159,77.98689157402112,27.14181189307,91,53,7
160,78.51091005347703,27.206531116367216,91,53,7
161,78.78880718212196,27.20094870488411,91,53,7
162,79.41118410280093,28.44893749124167,92,53,7
163,79.96726027325144,28.52250558842539,92,53,7
164,79.80993804065702,27.949078377088334,92,53,7
165,80.84704386810056,27.519177183952348,92,53,7
166,80.15016010442304,27.338537003949167,92,53,7
167,80.3462574513376,26.998458472349306,92,53,7
168,80.82056114196043,27.05046902198309,92,53,7
169,79.45127214444298,27.432889881389627,92,53,7
170,79.65893835295506,27.083279648534372,92,53,7
171,78.80296275240822,26.87557970259952,91,54,7
172,79.4747463982985,26.66124652192028,92,54,7
173,79.84659683994069,26.44048070055665,92,54,7
174,80.20217131388527,26.388175474500454,92,54,7
175,79.37994788079412,26.09005287653387,92,54,7
176,78.5755002536715,25.43364162707387,91,54,7
177,78.5011475728938,24.754958432491154,91,54,7
178,79.86553571393691,25.737194409971664,92,54,7
179,79.70733776318856,25.3512911543301,92,54,7
180,80.5477844488977,25.472875272983064,92,54,7
181,81.0659693876289,25.204220317282957,92,54,7
182,80.79811862548847,25.87156633397195,92,54,7
183,81.53140753697585,25.832289620439425,92,54,7
184,81.40580599131415,25.496072898469805,92,54,7
185,81.60657845147246,25.26833891117619,92,54,7
186,81.24660578662807,27.1250783525642,92,53,7
187,81.61308488966397,26.733703843591154,92,54,7
188,82.6596840832089,26.4186673326142,93,54,7
189,81.42494675728864,27.75191954828435,92,53,7
190,81.63426657317511,27.845476242565375,92,53,7
191,83.49400653653947,23.583247098856315,93,55,7
192,81.5981978355083,27.084304744249284,92,53,7
193,82.86484358094303,27.269520369691858,93,53,7
194,82.7040181601665,27.038362855296302,93,53,7
195,83.05990748076555,27.023028498736476,93,53,7
196,83.52207873754121,27.218168895917497,93,53,7
197,83.2503354458878,27.043978130905423,93,53,7
198,83.87989329734509,27.10275507125471,93,53,7
199,83.82739213229057,26.420696999115272,93,54,7
200,83.06329425069097,26.04372602343992,93,54,7
201,83.55659453381284,26.039003861301154,93,54,7
202,84.05929641204106,25.87953593781591,93,54,7
203,82.56716914288221,25.74287941092296,93,54,7
204,83.54741179484738,25.618310736439845,93,54,7
205,83.25291154767255,25.13491456159925,93,54,7
206,82.90896029393967,25.384610838254765,93,54,7
207,82.4552622754183,25.345097485950724,93,54,7
208,82.60116824270462,24.986911423967907,93,54,7
209,83.04386575235922,24.64438222286284,93,54,7
210,78.55378617138811,27.52832523614127,91,53,7
211,78.68805042495302,27.829079177155144,91,53,7
212,84.18457165189444,27.225860814358544,93,53,7
213,84.8088762618956,26.99738185004962,94,53,7
214,85.30403574607546,26.49298649271488,94,54,7
215,85.55272812918145,26.583125499865538,94,54,7
216,86.21344052809087,26.400788578392863,94,54,7
217,86.80194454333702,26.24230891760216,94,54,7
218,87.17220851786814,26.198047363037638,94,54,7
219,87.92914833259216,26.290579830267234,95,54,7
220,87.14990911123073,25.71994477251359,94,54,7
221,87.25174390470114,25.493609311213472,94,54,7
222,86.89498947333932,25.812957212450183,94,54,7
223,86.58664030136003,25.809492939826367,94,54,7
224,86.04715999773032,26.078611786907082,94,54,7
225,85.3231756853755,26.14662020581994,94,54,7
226,84.23159325009328,26.48008095640929,93,54,7
227,84.28254155289085,26.14709341459769,93,54,7
228,84.44450653816834,25.9810982423514,93,54,7
229,85.36694173044978,25.757138942960346,94,54,7
230,85.86472560950683,25.767826396698005,94,54,7
231,86.1277553076083,25.489061642101596,94,54,7
232,86.59642473770498,25.50602853877317,94,54,7
233,87.00636400542128,25.25775782390566,94,54,7
234,86.83884726752684,24.84921582084804,94,54,7
235,86.52468813860206,25.204055646313847,94,54,7
236,86.13567992491848,25.161986889245565,94,54,7
237,85.83755813225271,25.11480767303387,94,54,7
238,85.45227117553122,25.215817911506328,94,54,7
239,85.21983925927226,25.451700500690343,94,54,7
240,84.3913913610755,25.443344282939055,93,54,7
241,84.09138945295021,25.482018998339406,93,54,7
242,83.59859727927955,24.989355947345036,93,54,7
243,84.02019769978673,24.977288898335644,93,54,7
244,84.39309519923567,24.493339964351335,93,54,7
245,85.5874296925763,24.808350974612505,94,54,7
246,86.28872950295104,24.792525905959714,94,54,7
247,84.9942832582603,25.146690023331132,94,54,7
248,84.45548424162614,25.131631209966773,93,54,7
249,88.52741613168814,27.738200016018496,95,53,7
250,88.17251416954855,27.345381495894635,95,53,7
251,88.38065127409237,27.284787709082867,95,53,7
252,88.67140643267211,27.290600403019493,95,53,7
253,91.95053000363835,27.661415616516408,96,53,7
254,92.39546041434897,27.32263892479441,96,53,7
255,92.74579827636688,27.556701473382706,96,53,7
256,93.58998683934578,27.279905603010686,97,53,7
257,93.91696251347025,28.2968928123622,97,53,7
258,94.92118927254803,28.820000876066423,97,53,7
259,95.68116258205356,27.113098318792638,97,53,7
260,93.93764294233499,27.621073322757304,97,53,7
261,95.53774240146339,28.84024005286882,97,53,7
262,95.5579407085595,28.245279870958587,97,53,7
263,96.82318326682406,28.094709592570617,98,53,7
264,95.17239257006497,27.001273415579696,97,53,7
265,94.53163954572624,26.47237938840489,97,54,7
266,94.48606528536966,26.00306204482623,97,54,7
267,94.19232849232469,26.183512124579714,97,54,7
268,93.8115299508459,25.78255669971509,97,54,7
269,94.53746777640114,25.646010912732613,97,54,7
270,94.88854728670846,26.19654295265587,97,54,7
271,94.80058418141476,26.56720715125146,97,54,7
272,94.83291461967703,25.866037247827585,97,54,7
273,94.11038315932745,25.751208986894422,97,54,7
274,93.61532128087319,25.492299168588435,97,54,7
275,94.04148875734538,25.197677995552155,97,54,7
276,93.52828511353991,24.948299882798462,97,54,7
277,93.38318307616358,24.526638398649773,97,54,7
278,93.80251409969671,24.571856576356765,97,54,7
279,93.9947713382797,24.58373807398712,97,54,7
280,93.8777605676305,24.80469174802521,97,54,7
281,93.7773441784853,24.804240389222304,97,54,7
282,94.43424965693967,25.019356820396474,97,54,7
283,94.21331231306125,24.52125070481308,97,54,7
284,92.46496977413149,23.744217845199607,96,55,7
285,92.76302038513391,24.47323416021337,96,54,7
286,92.78082063354172,23.701127095608463,96,55,7
287,93.23420205992609,23.532437073082,97,55,7
288,92.82314721756313,23.371698015115637,96,55,7
289,92.651792079535,22.983310186941342,96,55,7
290,92.70029642232817,22.374945980408928,96,55,7
291,91.91027630809391,23.81690841137586,96,55,7
292,90.58227688964975,25.296601465187244,96,54,7
293,91.88758607634259,25.868609615917794,96,54,7
294,91.80367038920363,25.378320929515727,96,54,7
295,89.97516979457123,26.43039999089496,95,54,7
296,90.60361277352878,26.04580964593501,96,54,7
297,91.00404675937892,26.33477130184285,96,54,7
298,92.28356945886718,26.276314645764806,96,54,7
299,94.17098727668287,27.201752999971145,97,53,7
300,94.77646614014505,27.58708833397058,97,53,7
